sequenceIndex,key,timestamp
106,5,1731976304873.5
106,4,1731976305105.5
106,8,1731976305377.5
106,4,1731976305921.5
106,1,1731976306153.5
107,4,1731976307209.5
107,8,1731976307441.5
107,0,1731976307793.5
107,2,1731976308073.5
107,4,1731976308329.5
108,6,1731976309625.5
108,7,1731976309897.5
108,3,1731976310201.5
108,2,1731976310609.5
108,8,1731976310881.5
109,5,1731976311881.5
109,2,1731976312129.5
109,1,1731976312425.5
109,9,1731976312889.5
109,1,1731976313217.5
110,9,1731976314369.5
110,6,1731976314673.5
110,9,1731976314953.5
110,0,1731976315601.5
110,6,1731976315905.5
111,4,1731976316961.5
111,7,1731976317329.5
111,4,1731976317601.5
111,6,1731976318113.5
111,7,1731976318369.5
112,2,1731976319313.5
112,4,1731976319553.5
112,0,1731976319857.5
112,4,1731976320273.5
112,3,1731976320537.5
113,4,1731976321673.5
113,9,1731976321921.5
113,4,1731976322169.5
113,9,1731976322585.5
113,3,1731976322857.5
114,9,1731976323913.5
114,1,1731976324201.5
114,5,1731976324433.5
114,3,1731976324937.5
114,1,1731976325153.5
115,8,1731976326465.5
115,1,1731976326857.5
115,3,1731976327145.5
115,1,1731976327609.5
115,0,1731976327817.5
116,3,1731976328777.5
116,5,1731976329057.5
116,8,1731976329313.5
116,1,1731976329808.5
116,0,1731976330081.5
117,6,1731976331320.5
117,7,1731976331609.5
117,6,1731976331889.5
117,7,1731976332456.5
117,9,1731976332697.5
118,3,1731976333632.5
118,9,1731976333920.5
118,1,1731976334257.5
118,2,1731976335016.5
118,8,1731976335329.5
119,0,1731976336584.5
119,5,1731976336976.5
119,4,1731976337264.5
119,2,1731976337664.5
119,1,1731976337864.5
120,2,1731976338793.5
120,3,1731976339048.5
120,9,1731976339384.5
120,7,1731976339984.5
120,0,1731976340256.5
121,8,1731976341392.5
121,3,1731976341672.5
121,2,1731976341936.5
121,8,1731976342720.5
121,2,1731976342976.5
122,0,1731976343984.5
122,5,1731976344304.5
122,2,1731976344568.5
122,1,1731976345032.5
122,6,1731976345256.5
123,9,1731976346328.5
123,7,1731976346696.5
123,5,1731976346952.5
123,4,1731976347672.5
123,3,1731976348000.5
124,5,1731976349408.5
124,3,1731976349712.5
124,6,1731976350048.5
124,4,1731976350632.5
124,8,1731976350816.5
125,6,1731976352048.5
125,2,1731976352344.5
125,4,1731976352624.5
125,3,1731976353088.5
125,0,1731976353304.5
126,8,1731976354440.5
126,5,1731976354720.5
126,0,1731976355016.5
126,1,1731976355304.5
126,0,1731976355616.5
127,7,1731976356864.5
127,8,1731976357104.5
127,1,1731976357424.5
127,6,1731976358072.5
127,4,1731976358304.5
128,3,1731976359272.5
128,4,1731976359560.5
128,2,1731976359816.5
128,8,1731976360280.5
128,1,1731976360512.5
129,4,1731976361544.5
129,3,1731976361800.5
129,4,1731976362088.5
129,9,1731976362512.5
129,4,1731976362800.5
130,8,1731976363928.5
130,1,1731976364208.5
130,6,1731976364464.5
130,2,1731976364896.5
130,7,1731976365200.5
131,6,1731976366296.5
131,1,1731976366527.5
131,4,1731976366784.5
131,7,1731976367432.5
131,0,1731976367759.5
132,8,1731976368840.5
132,2,1731976369167.5
132,8,1731976369527.5
132,1,1731976370063.5
132,8,1731976370327.5
133,9,1731976371391.5
133,5,1731976371655.5
133,1,1731976371967.5
133,5,1731976372391.5
133,2,1731976372615.5
134,5,1731976373704.5
134,7,1731976373943.5
134,0,1731976374295.5
134,6,1731976374911.5
134,9,1731976375111.5
135,4,1731976376440.5
135,0,1731976376719.5
135,5,1731976377015.5
135,3,1731976377407.5
135,9,1731976377663.5
136,3,1731976378575.5
136,7,1731976378919.5
136,2,1731976379247.5
136,7,1731976379799.5
136,6,1731976380127.5
137,7,1731976381167.5
137,0,1731976381567.5
137,9,1731976381879.5
137,3,1731976382399.5
137,0,1731976382647.5
138,5,1731976383727.5
138,9,1731976384031.5
138,5,1731976384295.5
138,9,1731976384759.5
138,1,1731976385023.5
139,6,1731976386143.5
139,1,1731976386399.5
139,6,1731976386647.5
139,9,1731976386991.5
139,7,1731976387247.5
140,3,1731976388175.5
140,7,1731976388487.5
140,1,1731976388783.5
140,4,1731976389311.5
140,7,1731976389527.5
141,8,1731976391063.5
141,3,1731976391439.5
141,6,1731976391671.5
141,0,1731976391999.5
141,4,1731976392263.5
142,3,1731976393127.5
142,0,1731976393383.5
142,3,1731976393647.5
142,2,1731976393927.5
142,4,1731976394159.5
143,2,1731976395087.5
143,8,1731976395399.5
